frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2
1	0.00	-	9.70	11.06	3.65	3.38	1.15	0.67	240.90		
2	0.03	-	9.87	11.18	3.80	3.29	1.18	0.76	241.40		
3	0.07	-	10.63	11.65	4.07	3.30	1.25	0.94	237.66		
4	0.10	-	9.76	11.33	4.16	2.99	1.31	1.14	226.16		
5	0.13	-	8.51	10.56	3.86	2.78	1.36	1.16	235.68		
6	0.17	-	8.22	10.33	3.70	2.79	1.33	0.89	255.28		
7	0.20	-	6.63	9.27	3.31	2.49	1.19	0.66	298.57		
8	0.23	-	13.41	13.08	4.39	3.86	1.29	0.82	282.19		
9	0.27	-	9.96	11.24	3.79	3.31	1.16	1.12	235.49		
10	0.30	-	8.80	10.68	3.79	2.87	1.26	0.95	230.22		
11	0.33	-	10.06	11.33	3.91	3.25	1.18	0.85	233.02		
12	0.36	-	10.06	11.29	3.83	3.32	1.16	0.76	236.26		
13	0.40	-	10.09	11.32	3.85	3.27	1.15	0.79	238.70		
14	0.43	-	10.23	11.41	3.94	3.29	1.16	0.81	236.73		
15	0.46	-	9.89	11.23	3.91	3.25	1.21	0.96	231.23		
16	0.50	-	10.96	11.92	4.26	3.25	1.31	1.10	222.62		
17	0.53	-	9.69	11.16	3.93	3.10	1.27	1.15	231.65		
18	0.56	-	7.52	9.85	3.48	2.73	1.28	0.91	258.24		
19	0.60	-	6.88	9.43	3.38	2.56	1.32	0.82	288.40		
20	0.63	-	8.74	10.61	3.58	3.05	1.18	0.74	264.47		
21	0.66	-	11.44	12.01	3.95	3.75	1.05	1.15	239.41		
22	0.70	-	10.70	11.65	3.95	3.42	1.16	1.15	229.98		
23	0.73	-	10.30	11.44	3.87	3.33	1.17	0.97	235.66		
24	0.76	-	11.00	11.81	4.02	3.44	1.17	0.93	237.48		
25	0.80	-	10.80	11.69	3.95	3.45	1.14	0.93	238.16		
26	0.83	-	11.14	11.89	4.04	3.47	1.17	0.94	238.25		
27	0.86	-	10.62	11.61	3.97	3.42	1.16	0.99	231.95		
28	0.90	-	9.80	11.25	4.02	3.09	1.30	1.04	224.84		
29	0.93	-	10.00	11.39	4.05	3.08	1.31	1.11	224.31		
30	0.96	-	7.07	9.57	3.42	2.60	1.31	0.97	255.16		
31	1.00	-	6.93	9.48	3.39	2.57	1.32	0.93	285.34		
32	1.03	-	7.07	9.50	3.16	2.85	1.11	0.65	292.85		
33	1.06	-	13.32	13.01	4.38	3.76	1.16	0.94	243.70		
34	1.09	-	10.64	11.61	3.95	3.42	1.15	1.19	233.26		
35	1.13	-	10.29	11.43	3.89	3.31	1.18	1.03	232.14		
36	1.16	-	10.65	11.62	3.93	3.42	1.15	0.94	235.73		
37	1.19	-	10.93	11.77	3.98	3.48	1.15	0.93	236.97		
38	1.23	-	11.03	11.82	4.00	3.50	1.14	0.94	237.96		
39	1.26	-	11.20	11.91	4.06	3.55	1.14	1.03	234.49		
40	1.29	-	10.97	11.84	4.14	3.37	1.23	1.19	227.12		
41	1.33	-	10.40	11.58	4.08	3.18	1.28	1.19	227.77		
42	1.36	-	8.82	10.70	3.85	2.89	1.33	1.11	244.09		
43	1.39	-	7.19	9.61	3.37	2.68	1.26	0.89	271.95		
44	1.43	-	7.07	9.83	3.50	2.79	1.25	0.72	302.86		
45	1.46	-	15.16	13.96	4.80	3.87	1.24	0.81	248.65		
46	1.49	-	9.77	11.14	3.81	3.25	1.17	1.10	234.67		
47	1.53	-	10.02	11.30	3.89	3.23	1.21	0.97	230.57		
48	1.56	-	10.94	11.79	4.05	3.41	1.19	0.81	234.90		
49	1.59	-	11.15	11.88	4.02	3.50	1.15	0.75	244.01		
50	1.63	-	11.17	11.90	4.02	3.50	1.15	0.82	242.09		
51	1.66	-	10.91	11.77	4.02	3.41	1.18	0.91	240.08		
52	1.69	-	10.33	11.46	3.97	3.32	1.20	1.02	230.21		
53	1.72	-	10.40	11.56	4.06	3.26	1.24	1.14	228.22		
54	1.76	-	8.91	10.73	3.84	2.93	1.31	1.05	235.87		
55	1.79	-	8.16	10.22	3.57	2.88	1.24	0.90	258.94		
56	1.82	-	6.25	8.99	3.12	2.62	1.19	0.62	286.76		
57	1.86	-	13.77	13.42	4.65	3.59	1.29	0.72	267.00		
58	1.89	-	10.12	11.46	4.04	3.07	1.31	1.12	229.37		
59	1.92	-	9.46	11.02	3.85	3.06	1.26	0.83	223.59		
60	1.96	-	9.94	11.20	3.75	3.37	1.11	0.58	240.54		
61	1.99	-	10.64	11.59	3.87	3.50	1.11	0.64	253.15		
62	2.02	-	10.70	11.62	3.91	3.50	1.12	0.69	257.54		
63	2.06	-	11.14	11.87	3.98	3.55	1.12	0.77	257.99		
64	2.09	-	10.76	11.66	3.91	3.49	1.12	0.88	251.70		
65	2.12	-	10.12	11.33	3.85	3.33	1.16	0.93	246.73		
66	2.16	-	9.64	11.07	3.79	3.21	1.18	0.98	242.68		
67	2.19	-	9.12	10.79	3.75	3.04	1.23	0.92	263.62		
68	2.22	-	6.44	9.10	3.22	2.53	1.27	0.74	275.75		
69	2.26	-	8.49	10.38	3.54	3.04	1.16	0.92	262.66		
70	2.29	-	11.43	12.04	3.98	3.63	1.10	1.02	217.55		
71	2.32	-	9.20	10.80	3.67	3.19	1.15	0.77	216.11		
72	2.36	-	10.00	11.24	3.75	3.35	1.12	0.60	253.93		
73	2.39	-	10.49	11.51	3.87	3.44	1.12	0.63	269.64		
74	2.42	-	10.53	11.53	3.85	3.46	1.11	0.70	274.93		
75	2.45	-	10.89	11.73	3.93	3.49	1.13	0.78	277.95		
76	2.49	-	10.64	11.59	3.82	3.52	1.09	0.77	273.87		
77	2.52	-	10.06	11.27	3.74	3.43	1.09	0.87	254.61		
78	2.55	-	9.61	11.11	3.91	3.09	1.27	0.94	241.21		
79	2.59	-	8.16	10.24	3.61	2.86	1.26	0.84	249.01		
80	2.62	-	7.68	9.92	3.48	2.80	1.24	0.87	270.38		
81	2.65	-	7.87	10.10	3.67	2.75	1.33	0.96	299.45		
82	2.69	-	13.10	12.97	4.60	3.63	1.27	0.81	230.67		
83	2.72	-	11.45	12.03	4.00	3.62	1.10	1.18	220.44		
