frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2
1	0.00	-	9.27	10.86	3.72	3.25	1.07	0.16	325.41		
2	0.04	-	9.41	10.89	3.60	3.34	1.08	0.17	333.04		
3	0.08	-	9.48	10.94	3.62	3.32	1.09	0.17	336.11		
4	0.11	-	9.56	10.99	3.67	3.31	1.11	0.20	338.83		
5	0.15	-	9.65	11.05	3.68	3.31	1.11	0.19	342.61		
6	0.19	-	9.61	11.02	3.67	3.32	1.11	0.19	344.95		
7	0.22	-	9.71	11.07	3.65	3.35	1.09	0.19	343.15		
8	0.26	-	9.68	11.05	3.65	3.37	1.08	0.16	341.74		
9	0.29	-	9.55	10.97	3.59	3.38	1.06	0.15	340.28		
10	0.33	-	9.56	10.97	3.57	3.39	1.05	0.15	345.40		
11	0.36	-	9.40	10.89	3.56	3.41	1.04	0.17	332.86		
12	0.40	-	9.31	10.83	3.54	3.36	1.05	0.18	339.13		
13	0.43	-	9.37	10.88	3.59	3.36	1.07	0.19	334.59		
14	0.46	-	9.40	10.89	3.61	3.36	1.07	0.21	338.23		
15	0.50	-	9.43	10.90	3.60	3.36	1.07	0.22	339.52		
16	0.53	-	9.76	11.09	3.70	3.38	1.09	0.20	342.38		
17	0.57	-	9.65	11.03	3.66	3.37	1.09	0.21	341.17		
18	0.60	-	9.85	11.15	3.71	3.40	1.09	0.21	343.87		
19	0.64	-	9.64	11.03	3.68	3.35	1.10	0.18	342.02		
20	0.67	-	9.71	11.06	3.63	3.42	1.06	0.18	351.15		
21	0.70	-	9.52	10.95	3.61	3.36	1.07	0.22	349.45		
22	0.74	-	9.26	10.80	3.54	3.36	1.05	0.25	349.60		
23	0.77	-	9.11	10.71	3.48	3.36	1.04	0.25	344.55		
24	0.80	-	8.99	10.64	3.49	3.29	1.06	0.27	346.39		
25	0.84	-	9.16	10.74	3.52	3.33	1.06	0.26	348.10		
26	0.87	-	9.29	10.82	3.55	3.34	1.06	0.26	346.00		
27	0.91	-	9.30	10.82	3.54	3.36	1.05	0.25	343.93		
28	0.94	-	9.39	10.88	3.54	3.37	1.05	0.27	349.94		
29	0.97	-	9.62	11.01	3.55	3.42	1.04	0.26	351.09		
30	1.01	-	9.60	11.00	3.54	3.40	1.04	0.27	350.17		
31	1.04	-	9.55	10.97	3.55	3.44	1.03	0.26	354.96		
32	1.07	-	8.00	10.20	3.59	2.82	1.27	0.58	4.93		
33	1.10	-	8.26	10.34	3.72	2.85	1.28	0.68	15.66		
34	1.14	-	6.92	9.49	3.44	2.58	1.29	0.68	25.13		
35	1.17	-	6.71	9.61	3.67	2.22	1.65	0.59	44.02		
36	1.20	-	4.46	9.67	4.22	1.28	1.98	0.36	42.73		
37	1.24	-	4.37	9.64	4.27	1.32	2.10	0.53	100.60		
38	1.27	-	4.69	9.76	4.30	1.37	2.27	0.67	96.64		
39	1.30	-	4.41	9.71	4.31	1.29	2.08	0.60	92.66		
40	1.34	-	4.78	9.73	4.29	1.44	2.01	0.55	81.40		
41	1.37	-	4.99	9.74	4.25	1.49	1.78	0.62	84.39		
42	1.40	-	5.15	9.83	4.35	1.62	1.71	0.65	81.21		
43	1.44	-	5.37	9.76	4.24	1.64	1.93	0.73	79.81		
44	1.47	-	5.32	9.44	4.04	1.79	1.63	0.74	78.10		
45	1.50	-	5.70	9.74	4.17	1.93	1.59	0.72	72.20		
46	1.54	-	6.35	9.88	4.05	2.10	1.53	0.83	68.53		
47	1.57	-	6.54	9.87	3.97	2.23	1.50	0.82	62.26		
48	1.60	-	6.43	9.74	3.91	2.38	1.37	0.88	56.18		
49	1.63	-	7.68	10.03	3.64	2.69	1.35	0.73	27.40		
50	1.67	-	7.86	10.22	3.77	2.73	1.37	0.67	21.88		
51	1.70	-	7.98	10.31	3.82	2.75	1.33	0.66	17.88		
52	1.73	-	8.07	10.31	3.78	2.83	1.31	0.60	17.48		
53	1.77	-	8.29	10.42	3.80	2.92	1.25	0.58	12.48		
54	1.80	-	8.61	10.61	3.81	3.01	1.22	0.50	9.51		
55	1.83	-	8.84	10.72	3.79	3.10	1.21	0.48	12.20		
56	1.87	-	8.94	10.75	3.80	3.15	1.16	0.48	13.70		
57	1.90	-	8.53	10.53	3.76	3.06	1.15	0.50	21.71		
58	1.93	-	8.61	10.53	3.66	3.14	1.17	0.48	26.15		
59	1.97	-	8.20	10.21	3.53	3.01	1.14	0.35	37.66		
60	2.00	-	8.06	10.16	3.56	2.97	1.13	0.35	34.99		
61	2.03	-	8.06	10.13	3.47	2.99	1.12	0.33	32.29		
62	2.07	-	8.18	10.17	3.37	3.06	1.10	0.33	35.00		
63	2.10	-	8.49	10.36	3.38	3.15	1.07	0.34	31.25		
64	2.13	-	8.35	10.29	3.37	3.07	1.10	0.36	32.38		
65	2.16	-	8.27	10.27	3.42	3.02	1.13	0.41	26.39		
66	2.20	-	8.26	10.22	3.42	3.11	1.10	0.39	20.35		
67	2.23	-	8.22	10.18	3.41	3.07	1.11	0.41	16.26		
68	2.26	-	7.88	9.99	3.33	3.03	1.10	0.42	17.77		
69	2.30	-	8.25	10.19	3.37	3.11	1.09	0.42	23.29		
70	2.33	-	8.05	10.12	3.37	3.04	1.11	0.47	26.26		
71	2.36	-	7.75	9.91	3.27	2.99	1.09	0.43	25.93		
72	2.40	-	7.67	9.84	3.24	2.99	1.08	0.33	27.40		
73	2.43	-	7.49	9.72	3.21	2.95	1.09	0.29	21.62		
74	2.46	D	7.78	9.90	3.28	3.00	1.09	0.29	26.28		
75	2.50	-	7.72	9.87	3.25	2.98	1.09	0.30	24.30		
76	2.53	-	7.72	9.90	3.32	2.87	1.16	0.36	30.00		
77	2.56	-	7.64	9.86	3.32	2.89	1.15	0.36	26.94		
78	2.59	-	7.92	10.04	3.36	2.93	1.15	0.42	24.82		
79	2.63	-	7.98	10.04	3.30	3.04	1.09	0.36	23.68		
80	2.66	-	8.12	10.13	3.31	3.07	1.08	0.42	20.37		
81	2.69	S	7.97	10.04	3.32	3.01	1.10	0.38	22.64		
82	2.73	-	8.16	10.15	3.33	3.13	1.06	0.42	24.38		
83	2.76	-	8.08	10.10	3.35	3.07	1.09	0.40	25.63		
84	2.79	-	7.73	9.88	3.29	2.95	1.11	0.29	25.85		
85	2.83	-	7.73	9.87	3.29	3.00	1.10	0.27	27.60		
86	2.86	D	7.83	9.94	3.32	3.07	1.08	0.32	26.77		
87	2.89	-	7.51	9.74	3.29	2.95	1.11	0.30	20.88		
88	2.93	-	7.56	9.77	3.29	2.98	1.11	0.32	22.29		
89	2.96	-	7.09	9.47	3.16	2.84	1.11	0.36	16.49		
90	2.99	-	7.27	9.59	3.21	2.82	1.14	0.43	18.95		
91	3.02	-	7.91	10.01	3.35	2.96	1.13	0.48	18.52		
92	3.06	-	8.46	10.33	3.39	3.21	1.06	0.56	14.41		
93	3.09	S	8.07	10.09	3.34	3.08	1.09	0.48	17.06		
94	3.12	-	8.26	10.22	3.42	3.10	1.10	0.55	16.67		
95	3.16	-	7.64	9.82	3.25	2.98	1.09	0.49	16.71		
96	3.19	-	7.48	9.74	3.33	2.91	1.15	0.38	19.73		
97	3.22	-	7.75	9.89	3.32	3.00	1.11	0.28	14.93		
98	3.26	-	7.84	9.95	3.36	3.02	1.11	0.28	24.14		
99	3.29	D	7.66	9.83	3.30	2.96	1.12	0.26	23.71		
100	3.32	-	7.55	9.77	3.32	2.93	1.14	0.27	18.05		
101	3.36	-	7.40	9.68	3.28	2.92	1.12	0.31	19.51		
102	3.39	-	7.27	9.60	3.28	2.87	1.14	0.40	12.68		
103	3.42	-	7.18	9.52	3.21	2.87	1.12	0.47	11.70		
104	3.45	-	6.92	9.34	3.07	2.88	1.07	0.46	8.52		
105	3.49	S	7.15	9.49	3.13	2.93	1.07	0.49	9.07		
106	3.52	-	7.12	9.48	3.19	2.87	1.11	0.49	8.41		
107	3.55	-	7.15	9.50	3.20	2.89	1.11	0.49	9.00		
108	3.59	-	7.50	9.76	3.38	2.89	1.17	0.43	15.93		
109	3.62	-	7.62	9.83	3.38	2.95	1.14	0.35	19.41		
110	3.65	-	7.65	9.86	3.44	2.89	1.19	0.31	19.93		
111	3.69	D	7.53	9.78	3.38	2.86	1.18	0.27	19.89		
112	3.72	-	7.64	9.85	3.43	2.91	1.18	0.30	21.49		
113	3.75	-	7.56	9.80	3.38	2.89	1.17	0.29	20.65		
114	3.78	-	7.41	9.70	3.35	2.91	1.15	0.35	13.39		
115	3.82	-	7.27	9.61	3.34	2.87	1.16	0.40	9.47		
116	3.85	-	7.38	9.66	3.30	2.91	1.13	0.46	8.33		
117	3.88	-	7.49	9.72	3.26	2.94	1.11	0.49	6.56		
118	3.92	S	7.47	9.71	3.27	2.95	1.11	0.53	9.18		
119	3.95	-	7.35	9.64	3.25	2.92	1.12	0.51	10.77		
120	3.98	-	7.60	9.82	3.40	2.91	1.17	0.45	17.70		
121	4.02	-	7.28	9.63	3.32	2.83	1.18	0.44	16.06		
122	4.05	-	7.32	9.65	3.35	2.82	1.19	0.35	27.93		
123	4.08	-	7.11	9.51	3.28	2.76	1.19	0.38	23.65		
124	4.12	D	7.19	9.58	3.33	2.77	1.20	0.33	27.69		
125	4.15	-	7.23	9.60	3.35	2.78	1.20	0.34	23.71		
126	4.18	-	7.27	9.60	3.30	2.86	1.15	0.32	22.91		
127	4.21	-	7.33	9.64	3.31	2.87	1.15	0.36	22.23		
128	4.25	-	7.30	9.60	3.25	2.91	1.12	0.39	12.77		
129	4.28	-	7.38	9.67	3.30	2.88	1.15	0.45	10.02		
130	4.31	S	7.34	9.64	3.30	2.88	1.14	0.51	9.29		
131	4.35	-	7.32	9.62	3.28	2.89	1.13	0.51	8.18		
132	4.38	-	7.48	9.73	3.33	2.91	1.14	0.50	12.10		
133	4.41	-	7.37	9.67	3.31	2.87	1.15	0.46	21.03		
134	4.45	-	6.86	9.35	3.24	2.74	1.18	0.42	11.85		
135	4.48	-	6.71	9.24	3.18	2.69	1.18	0.37	16.53		
136	4.51	-	6.81	9.32	3.23	2.67	1.21	0.35	19.98		
137	4.55	D	6.87	9.36	3.24	2.68	1.21	0.36	18.54		
138	4.58	-	6.78	9.28	3.18	2.71	1.18	0.37	19.29		
139	4.61	-	6.57	9.14	3.17	2.65	1.20	0.37	14.29		
140	4.64	-	6.80	9.31	3.25	2.70	1.21	0.40	19.11		
141	4.68	-	7.11	9.50	3.27	2.82	1.16	0.46	20.59		
142	4.71	-	7.12	9.50	3.23	2.85	1.14	0.49	18.55		
143	4.74	S	7.15	9.52	3.27	2.80	1.17	0.53	15.35		
144	4.78	-	6.85	9.32	3.17	2.80	1.13	0.55	12.86		
145	4.81	-	6.94	9.38	3.20	2.77	1.15	0.51	11.16		
146	4.84	-	6.85	9.33	3.21	2.76	1.16	0.45	16.53		
147	4.88	-	6.85	9.32	3.13	2.80	1.12	0.36	20.18		
148	4.91	-	6.50	9.08	3.06	2.71	1.13	0.33	16.54		
149	4.94	D	6.42	9.02	3.07	2.69	1.14	0.34	17.75		
150	4.97	-	6.38	8.99	3.05	2.65	1.15	0.35	14.88		
151	5.01	-	6.59	9.13	3.08	2.74	1.12	0.35	17.52		
152	5.04	-	6.62	9.15	3.08	2.75	1.12	0.36	16.19		
153	5.07	-	6.61	9.16	3.14	2.71	1.16	0.42	14.76		
154	5.11	-	6.39	9.00	3.07	2.64	1.16	0.53	9.00		
155	5.14	-	6.66	9.17	3.10	2.75	1.13	0.54	6.98		
156	5.17	S	6.59	9.13	3.09	2.74	1.13	0.55	8.82		
157	5.21	-	6.62	9.14	3.08	2.76	1.11	0.54	9.90		
158	5.24	-	6.73	9.23	3.14	2.74	1.15	0.51	13.17		
159	5.27	-	6.69	9.20	3.03	2.77	1.10	0.45	15.00		
160	5.31	-	6.32	8.96	3.02	2.62	1.15	0.36	13.75		
161	5.34	-	6.31	8.95	3.01	2.62	1.15	0.34	11.83		
162	5.37	D	6.11	8.80	2.97	2.57	1.16	0.33	9.10		
163	5.40	-	6.18	8.85	2.99	2.60	1.15	0.35	13.73		
164	5.44	-	6.10	8.80	2.94	2.60	1.13	0.38	12.57		
165	5.47	-	6.25	8.89	3.00	2.64	1.13	0.42	14.24		
166	5.50	-	6.32	8.95	3.00	2.64	1.13	0.49	13.08		
167	5.54	-	6.65	9.17	3.07	2.76	1.11	0.50	12.34		
168	5.57	S	6.81	9.27	3.07	2.85	1.08	0.51	8.84		
