,time,p_aortic,p_mean_aortic,p_distal,p_mean_distal,pd/pa,n/a,peaks
0,0.01,115.8,133.0,79.2,94.3,0.709,14.3,0
1,0.02,113.4,133.0,77.8,94.3,0.709,14.3,0
2,0.03,110.0,133.0,74.9,94.3,0.709,14.3,0
3,0.04,106.6,133.0,71.3,94.3,0.709,14.3,0
4,0.05,103.7,132.9,69.4,94.2,0.709,14.3,0
5,0.06,100.0,132.9,68.9,94.2,0.709,14.3,0
6,0.07,96.8,132.9,68.8,94.2,0.709,14.3,0
7,0.08,95.0,132.9,68.5,94.2,0.709,14.3,0
8,0.09,94.2,132.9,67.7,94.2,0.709,14.3,0
9,0.1,93.7,132.9,66.4,94.2,0.709,14.3,0
10,0.11,93.2,132.8,65.5,94.2,0.709,14.3,0
11,0.12,92.2,132.8,68.9,94.2,0.709,14.3,2
12,0.13,92.8,132.8,68.9,94.2,0.709,14.3,0
13,0.14,97.6,132.9,69.9,94.2,0.709,14.3,0
14,0.15,103.6,132.9,74.2,94.3,0.71,14.3,0
15,0.16,110.5,133.0,78.7,94.3,0.709,14.3,0
16,0.17,115.0,133.1,81.2,94.3,0.708,14.3,0
17,0.18,116.7,133.1,84.0,94.4,0.709,14.3,0
18,0.19,125.8,133.1,89.4,94.4,0.709,14.3,0
19,0.2,140.3,133.3,98.2,94.5,0.709,14.6,0
20,0.21,150.0,133.2,110.1,94.5,0.709,14.6,0
21,0.22,155.3,133.0,116.8,94.2,0.708,14.6,0
22,0.23,162.1,132.6,122.5,93.9,0.708,14.6,0
23,0.24,171.9,132.5,127.2,93.9,0.709,14.6,0
24,0.25,179.7,132.5,131.5,93.9,0.709,14.6,0
25,0.26,183.2,132.4,132.8,93.9,0.709,14.6,0
26,0.27,186.1,132.4,131.3,93.9,0.709,14.6,0
27,0.28,187.4,132.5,130.3,94.0,0.709,14.6,1
28,0.29,184.4,132.6,128.1,94.0,0.709,14.6,0
29,0.3,178.5,132.7,124.4,94.1,0.709,14.6,0
30,0.31,172.6,132.7,120.0,94.1,0.709,14.6,0
31,0.32,169.9,132.8,119.1,94.1,0.709,14.6,0
32,0.33,167.0,132.9,120.3,94.2,0.709,14.6,0
33,0.34,158.9,133.0,116.6,94.3,0.709,14.6,0
34,0.35,151.5,133.1,110.9,94.4,0.709,14.6,0
35,0.36,146.9,133.2,107.0,94.4,0.709,14.6,0
36,0.37,139.3,133.3,102.9,94.5,0.709,14.6,0
37,0.38,133.2,133.3,98.7,94.6,0.71,14.6,0
38,0.39,131.8,133.4,93.9,94.7,0.71,14.6,0
39,0.4,128.7,133.5,87.2,94.7,0.709,14.6,0
40,0.41,123.1,133.5,82.1,94.8,0.71,14.6,0
41,0.42,117.9,133.6,80.1,94.8,0.71,14.6,0
42,0.43,115.0,133.6,78.8,94.8,0.71,14.6,0
43,0.44,112.4,133.7,77.0,94.9,0.71,14.6,0
44,0.45,108.6,133.7,73.9,94.9,0.71,14.6,0
45,0.46,105.6,133.8,71.0,94.9,0.709,14.6,0
46,0.47,102.4,133.8,69.5,95.0,0.71,14.6,0
47,0.48,98.6,133.8,69.1,95.0,0.71,14.6,0
48,0.49,95.7,133.9,69.1,95.0,0.709,14.6,0
49,0.5,94.5,133.9,69.0,95.0,0.709,14.6,0
50,0.51,94.1,133.9,67.7,95.0,0.709,14.6,0
51,0.52,93.6,133.9,65.5,95.0,0.709,14.6,0
52,0.53,93.2,133.9,66.5,95.0,0.709,14.6,0
53,0.54,91.6,133.8,69.3,94.9,0.709,14.6,2
54,0.55,94.1,133.7,68.2,94.9,0.71,14.6,0
55,0.56,99.6,133.6,70.9,94.8,0.71,14.6,0
56,0.57,105.5,133.6,75.4,94.8,0.71,14.6,0
57,0.58,112.2,133.5,79.5,94.7,0.709,14.6,0
58,0.59,115.1,133.4,82.0,94.6,0.709,14.6,0
59,0.6,118.3,133.2,85.9,94.5,0.709,14.6,0
60,0.61,130.7,133.0,91.9,94.4,0.71,14.6,0
61,0.62,144.9,132.9,101.3,94.3,0.71,14.3,0
62,0.63,152.6,133.1,112.6,94.4,0.709,14.3,0
63,0.64,157.5,133.3,119.6,94.6,0.71,14.3,0
64,0.65,165.5,133.5,125.5,94.9,0.711,14.3,0
65,0.66,175.4,133.6,129.2,94.9,0.71,14.3,0
66,0.67,180.9,133.7,131.9,94.9,0.71,14.3,0
67,0.68,183.4,133.7,133.0,94.9,0.71,14.3,0
68,0.69,185.9,133.7,132.6,94.9,0.71,14.3,0
69,0.7,186.1,133.7,131.3,94.9,0.71,14.3,1
70,0.71,182.1,133.7,128.7,94.9,0.71,14.3,0
71,0.72,175.5,133.6,124.1,94.9,0.71,14.3,0
72,0.73,170.1,133.6,119.1,94.9,0.71,14.3,0
73,0.74,168.6,133.6,119.2,94.9,0.71,14.3,0
74,0.75,164.1,133.5,118.5,94.9,0.711,14.3,0
75,0.76,155.2,133.5,113.6,94.9,0.711,14.3,0
76,0.77,149.3,133.4,108.1,94.9,0.711,14.3,0
77,0.78,144.0,133.3,103.9,94.9,0.712,14.3,0
78,0.79,135.8,133.3,99.7,94.9,0.712,14.3,0
79,0.8,132.0,133.2,95.6,94.8,0.712,14.3,0
80,0.81,130.8,133.2,90.2,94.8,0.712,14.3,0
81,0.82,126.3,133.2,83.5,94.8,0.712,14.3,0
82,0.83,120.4,133.1,80.2,94.8,0.712,14.3,0
83,0.84,116.1,133.1,77.8,94.7,0.711,14.3,0
84,0.85,113.6,133.0,76.3,94.7,0.712,14.3,0
85,0.86,110.5,133.0,74.4,94.7,0.712,14.3,0
86,0.87,106.9,133.0,71.1,94.6,0.711,14.3,0
87,0.88,104.2,132.9,68.9,94.6,0.712,14.3,0
