phase,ivus_frame_auto,frame
S,0,0
D,7,5
S,13,12
D,19,18
S,26,24
D,32,30
S,38,37
D,45,43
S,51,49
D,57,56
S,63,62
D,70,68
S,76,75
D,82,81
S,88,87
D,95,94
S,101,100
D,108,106
S,114,113
D,120,119
S,126,126
D,133,132
S,139,138
D,145,144
S,152,151
D,158,157
S,164,163
D,171,169
S,177,176
D,183,182
S,189,188
D,196,195
S,202,201
D,208,207
S,215,214
D,221,220
S,227,226
D,234,233
S,240,239
D,246,245
S,252,251
D,259,258
S,265,264
D,272,271
S,278,276
D,284,283
S,290,289
D,297,295
S,303,302
D,309,308
S,315,314
D,322,321
S,328,327
D,334,333
S,340,339
D,347,345
S,353,352
D,360,358
S,366,364
D,372,371
S,378,377
D,,384
S,390,390
D,398,396
S,,402
D,410,409
S,416,415
D,423,421
S,429,428
D,435,434
S,441,441
D,448,447
S,454,453
D,461,459
S,,465
D,473,472
S,479,478
D,,485
S,491,490
D,498,497
S,504,503
D,511,509
S,517,516
D,523,521
S,529,527
D,536,534
S,542,540
D,,546
S,554,552
D,561,557
S,567,564
D,,570
S,577,578
D,585,585
S,592,592
D,605,599
