phase,ivus_frame,frame
S,0.0,15
D,16.0,22
S,22.0,37
D,38.0,45
S,45.0,59
D,61.0,67
S,68.0,82
D,83.0,90
S,90.0,105
D,106.0,112
S,113.0,127
D,128.0,135
S,135.0,149
D,151.0,157
S,158.0,172
D,173.0,180
S,181.0,194
D,196.0,202
S,203.0,217
D,218.0,225
S,226.0,240
D,241.0,248
S,249.0,262
D,262.0,270
S,270.0,285
D,285.0,292
S,294.0,307
D,307.0,315
S,315.0,330
D,329.0,337
S,338.0,352
D,353.0,360
S,362.0,375
D,377.0,382
S,384.0,397
D,396.0,405
S,404.0,419
D,418.0,427
S,426.0,442
D,442.0,450
S,450.0,464
D,468.0,472
S,474.0,487
D,487.0,495
S,494.0,509
D,510.0,517
S,516.0,532
D,533.0,539
S,540.0,555
D,554.0,562
S,562.0,577
D,579.0,585
S,587.0,599
D,601.0,607
S,608.0,622
D,622.0,630
S,630.0,645
D,648.0,652
S,656.0,667
D,667.0,675
S,675.0,689
