phase,ivus_frame,frame
D,0.0,15
S,12.0,22
D,22.0,37
S,35.0,45
D,44.0,59
S,57.0,67
D,67.0,82
S,78.0,90
D,88.0,105
S,102.0,112
D,112.0,127
S,124.0,135
D,134.0,149
S,146.0,157
D,157.0,172
S,169.0,180
D,178.0,194
S,192.0,202
D,202.0,217
S,214.0,225
D,223.0,240
S,236.0,248
D,246.0,262
S,259.0,270
D,268.0,285
S,283.0,292
D,293.0,307
S,305.0,315
D,314.0,330
S,328.0,337
D,337.0,352
S,350.0,360
D,359.0,375
S,372.0,382
D,380.0,397
S,393.0,405
D,403.0,419
S,415.0,427
D,424.0,442
S,437.0,450
D,448.0,464
S,460.0,472
D,471.0,487
S,483.0,495
D,494.0,509
S,506.0,517
D,517.0,532
S,529.0,539
D,538.0,555
S,549.0,562
D,560.0,577
S,570.0,585
D,582.0,599
S,596.0,607
D,606.0,622
S,619.0,630
D,628.0,645
S,638.0,652
D,648.0,667
S,658.0,675
D,672.0,689
S,681.0,697
D,691.0,712
