phase,ivus_frame,frame
S,0.0,8
D,5.0,12
S,12.0,20
D,18.0,25
S,24.0,33
D,30.0,38
S,37.0,45
D,43.0,50
S,49.0,58
D,56.0,62
S,62.0,70
D,68.0,75
S,75.0,82
D,81.0,87
S,87.0,95
D,94.0,100
S,100.0,108
D,106.0,112
S,113.0,120
D,119.0,125
S,126.0,133
D,132.0,137
S,138.0,145
D,144.0,150
S,151.0,157
D,157.0,162
S,163.0,170
D,169.0,175
S,176.0,182
D,182.0,187
S,188.0,195
D,195.0,200
S,201.0,208
D,207.0,212
S,214.0,220
D,220.0,225
S,226.0,233
D,233.0,237
S,239.0,245
D,245.0,250
S,251.0,258
D,258.0,262
S,264.0,270
D,271.0,275
S,276.0,283
D,283.0,287
S,289.0,295
D,295.0,300
S,302.0,308
D,308.0,312
S,314.0,320
D,321.0,325
S,327.0,333
D,333.0,338
S,339.0,345
D,345.0,350
S,352.0,358
D,358.0,362
S,364.0,370
D,371.0,375
S,377.0,382
D,384.0,387
S,390.0,395
D,396.0,400
S,402.0,408
D,409.0,412
S,415.0,420
D,421.0,425
S,428.0,433
D,434.0,437
S,441.0,445
D,447.0,450
S,453.0,458
D,459.0,462
S,465.0,470
D,472.0,475
S,478.0,482
D,485.0,487
S,490.0,495
D,497.0,500
S,503.0,508
D,509.0,512
S,516.0,520
D,521.0,525
S,527.0,533
D,534.0,538
S,540.0,545
D,546.0,550
S,552.0,558
D,557.0,562
S,564.0,570
D,570.0,575
S,578.0,583
D,585.0,587
S,592.0,595
D,599.0,600
S,605.0,608
D,612.0,612
S,618.0,620
D,625.0,625
S,631.0,633
D,638.0,638
S,645.0,645
