phase,ivus_frame,frame
S,0.0,8
D,7.0,12
S,13.0,20
D,19.0,25
S,26.0,33
D,32.0,38
S,39.0,45
D,44.0,50
S,51.0,58
D,57.0,62
S,64.0,70
D,70.0,75
S,77.0,82
D,83.0,87
S,88.0,95
D,94.0,100
S,101.0,108
D,106.0,112
S,114.0,120
D,120.0,125
S,127.0,133
D,133.0,137
S,139.0,145
D,145.0,150
S,152.0,157
D,158.0,162
S,165.0,170
D,171.0,175
S,177.0,182
D,183.0,187
S,190.0,195
D,195.0,200
S,202.0,208
D,209.0,212
S,215.0,220
D,221.0,225
S,228.0,233
D,234.0,237
S,241.0,245
D,247.0,250
S,253.0,258
D,258.0,262
S,265.0,270
D,271.0,275
S,278.0,283
D,284.0,287
S,290.0,295
D,296.0,300
S,302.0,308
D,309.0,312
S,316.0,320
D,322.0,325
S,328.0,333
D,334.0,338
S,341.0,345
D,347.0,350
S,352.0,358
D,359.0,362
S,366.0,370
D,372.0,375
S,378.0,382
D,385.0,387
S,391.0,395
D,397.0,400
S,404.0,408
D,409.0,412
S,416.0,420
D,422.0,425
S,428.0,433
D,435.0,437
S,441.0,445
D,447.0,450
S,455.0,458
D,460.0,462
S,467.0,470
D,473.0,475
S,478.0,482
D,485.0,487
S,492.0,495
D,499.0,500
S,505.0,508
D,511.0,512
S,517.0,520
D,523.0,525
S,530.0,533
D,535.0,538
S,543.0,545
D,549.0,550
S,554.0,558
D,562.0,562
S,569.0,570
D,573.0,575
S,579.0,583
D,586.0,587
S,594.0,595
D,600.0,600
S,605.0,608
D,612.0,612
S,619.0,620
D,625.0,625
S,630.0,633
D,636.0,638
S,642.0,645
D,649.0,650
S,655.0,658
D,661.0,662
